date;year;month_1;city;month;homicide;homicide_victims;robbery-homicide;theft;cattle-theft;car-theft;robbery;car-robbery;fraud-swindle;offenses-related-to-weapons-and-ammunition;narcotics-possession;narcotics-traffic;robbery-homicide-victims;victims-of-bodily-injury;intentional-lethal-violent-crime-victims;total-intentional-lethal-violent-crime-victims;population
2016-01-01 00:00:00;2016;1;ACEGUA;JAN;0;0;0;9;2;2;0;0;0;0;0;0;0;0;;;4170
2016-01-01 00:00:00;2016;1;AGUA SANTA;JAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;3912
2016-01-01 00:00:00;2016;1;AGUDO;JAN;0;0;0;11;0;1;1;0;1;0;1;0;0;0;;;16041
2016-01-01 00:00:00;2016;1;AJURICABA;JAN;0;0;0;2;0;0;1;0;0;0;0;0;0;0;;;6720
2016-01-01 00:00:00;2016;1;ALECRIM;JAN;1;1;0;7;2;1;0;0;0;0;0;0;0;0;;;6123
2016-01-01 00:00:00;2016;1;ALEGRETE;JAN;1;1;0;60;11;1;11;1;8;5;8;3;0;0;;;72409
2016-01-01 00:00:00;2016;1;ALEGRIA;JAN;0;0;0;4;1;0;0;0;0;0;0;0;0;0;;;3651
2016-01-01 00:00:00;2016;1;ALMIRANTE TAMANDARE DO SUL;JAN;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;1969
2016-01-01 00:00:00;2016;1;ALPESTRE;JAN;0;0;0;6;3;1;0;0;0;0;0;0;0;0;;;7117
2016-01-01 00:00:00;2016;1;ALTO ALEGRE;JAN;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;1800
2016-01-01 00:00:00;2016;1;ALTO FELIZ;JAN;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;3072
2016-01-01 00:00:00;2016;1;ALVORADA;JAN;11;16;2;159;1;61;354;51;22;5;2;12;2;0;;;187315
2016-01-01 00:00:00;2016;1;AMARAL FERRADOR;JAN;0;0;0;3;0;0;1;0;0;0;0;0;0;0;;;5310
2016-01-01 00:00:00;2016;1;AMETISTA DO SUL;JAN;0;0;0;13;2;2;0;0;0;0;0;0;0;0;;;7650
2016-01-01 00:00:00;2016;1;ANDRE DA ROCHA;JAN;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;1135
2016-01-01 00:00:00;2016;1;ANTA GORDA;JAN;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;5957
2016-01-01 00:00:00;2016;1;ANTONIO PRADO;JAN;0;0;0;8;0;0;0;0;0;0;0;3;0;0;;;13045
2016-01-01 00:00:00;2016;1;ARAMBARE;JAN;0;0;0;12;1;1;1;0;0;0;2;0;0;0;;;4112
